id,real_language,fake_language,real_unique_languages,fake_unique_languages,real_lang_counts,fake_lang_counts
19,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 11},{'en': 13}
20,"['en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 7},{'en': 15}
21,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 15},{'en': 21}
22,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 11},{'en': 13}
23,"['en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 7},{'en': 17}
24,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 10},{'en': 17}
25,"['en', 'en', 'pl', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'pl', 'en', 'en', 'en', 'en', 'en', 'en']","['pl', 'en']","['pl', 'en']","{'en': 10, 'pl': 1}","{'en': 10, 'pl': 1}"
26,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 10},{'en': 19}
27,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['pl', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],"['pl', 'en']",{'en': 8},"{'pl': 1, 'en': 12}"
28,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 11},{'en': 11}
29,"['en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 7},{'en': 13}
30,"['en', 'en', 'en', 'en', 'en', 'en', 'nl', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'ca', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['nl', 'en']","['ca', 'en']","{'en': 13, 'nl': 1}","{'en': 18, 'ca': 1}"
31,"['en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 7},{'en': 14}
32,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 8},{'en': 12}
33,"['en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 6},{'en': 8}
34,"['en', 'en', 'et', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['et', 'en']",['en'],"{'en': 12, 'et': 1}",{'en': 27}
35,"['en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 7},{'en': 9}
36,"['en', 'en', 'en', 'af', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['af', 'en']",['en'],"{'en': 13, 'af': 1}",{'en': 13}
37,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 10},{'en': 11}
38,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 14},{'en': 16}
39,"['en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'ca', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],"['ca', 'en']",{'en': 7},"{'en': 9, 'ca': 1}"
40,"['da', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'et', 'en', 'en', 'et', 'en', 'et', 'da', 'en', 'en']","['da', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'et', 'en', 'en', 'en', 'et', 'en', 'et', 'da', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['et', 'da', 'en']","['et', 'da', 'en']","{'da': 2, 'en': 18, 'et': 3}","{'da': 2, 'en': 30, 'et': 3}"
41,"['en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 5},{'en': 9}
42,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'hr', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['hr', 'en']",['en'],"{'en': 10, 'hr': 1}",{'en': 13}
43,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 8},{'en': 13}
44,"['en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 5},{'en': 9}
45,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'sl', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['sl', 'en']",['en'],"{'en': 10, 'sl': 1}",{'en': 25}
46,"['en', 'en', 'en', 'en', 'ca', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'nl', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['ca', 'en']","['nl', 'en']","{'en': 13, 'ca': 1}","{'en': 22, 'nl': 1}"
47,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['fr', 'en']",['en'],"{'en': 17, 'fr': 1}",{'en': 11}
48,"['en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 7},{'en': 13}
49,"['en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 5},{'en': 12}
50,"['en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 6},{'en': 11}
51,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 13},{'en': 17}
52,"['en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 5},{'en': 10}
53,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 10},{'en': 13}
54,"['en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'sw', 'en', 'fr', 'en', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],"['fr', 'ro', 'sw', 'en']",{'en': 7},"{'en': 16, 'sw': 1, 'fr': 1, 'ro': 1}"
55,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'pl', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'pl', 'en', 'en', 'en', 'pl', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],"['pl', 'en']",{'en': 9},"{'en': 26, 'pl': 3}"
56,"['en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 7},{'en': 12}
57,"['en', 'it', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'af', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['it', 'ca', 'en']","['af', 'en']","{'en': 15, 'it': 1, 'ca': 1}","{'en': 34, 'af': 1}"
58,"['en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 7},{'en': 7}
59,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 18},{'en': 19}
60,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'fr', 'et', 'en', 'en', 'et', 'ro', 'da', 'en', 'et', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'en', 'en', 'pt', 'en', 'en', 'en', 'fr', 'en', 'en', 'nl', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'no', 'de', 'ro', 'en', 'en', 'en', 'en', 'ca', 'en', 'en', 'fr', 'en', 'en', 'en', 'en']",['en'],"['et', 'de', 'ca', 'ro', 'nl', 'no', 'da', 'pt', 'en', 'fr']",{'en': 11},"{'en': 40, 'fr': 3, 'et': 4, 'ro': 2, 'da': 1, 'ca': 2, 'pt': 1, 'nl': 1, 'no': 1, 'de': 1}"
61,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'nl', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'en', 'en', 'pt', 'en', 'en', 'en', 'fr', 'en', 'en', 'tl', 'en', 'en', 'en', 'en', 'it', 'en', 'en', 'en', 'en', 'en', 'de', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en']",['en'],"['it', 'et', 'de', 'ca', 'ro', 'nl', 'pt', 'en', 'tl', 'fr']",{'en': 17},"{'en': 40, 'nl': 1, 'ca': 1, 'et': 1, 'pt': 1, 'fr': 2, 'tl': 1, 'it': 1, 'de': 1, 'ro': 1}"
62,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'da', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'et', 'en', 'pt', 'en', 'en', 'en', 'fr', 'en', 'nl', 'tl', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en', 'it', 'en', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en']",['en'],"['it', 'et', 'ca', 'ro', 'nl', 'da', 'pt', 'en', 'tl', 'fr']",{'en': 9},"{'en': 42, 'da': 1, 'ca': 1, 'et': 2, 'pt': 1, 'fr': 3, 'nl': 1, 'tl': 1, 'it': 1, 'ro': 1}"
63,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'ro', 'da', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'et', 'en', 'pt', 'en', 'en', 'en', 'en', 'en', 'en', 'nl', 'tl', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en']","['ca', 'en']","['et', 'ca', 'ro', 'nl', 'da', 'pt', 'en', 'tl', 'fr']","{'en': 22, 'ca': 1}","{'en': 34, 'ro': 2, 'da': 1, 'ca': 1, 'et': 2, 'pt': 1, 'nl': 1, 'tl': 1, 'fr': 1}"
64,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 19},{'en': 21}
65,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 8},{'en': 8}
66,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'no', 'en', 'en', 'en', 'en', 'nl', 'da', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'en', 'en', 'pt', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'nl', 'tl', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'no', 'de', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en']",['en'],"['et', 'de', 'ca', 'ro', 'no', 'nl', 'da', 'pt', 'en', 'tl', 'fr']",{'en': 10},"{'en': 44, 'ca': 2, 'no': 2, 'nl': 2, 'da': 1, 'et': 1, 'pt': 1, 'fr': 2, 'tl': 1, 'de': 1, 'ro': 1}"
67,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 24},{'en': 26}
68,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'et', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'en', 'en', 'pt', 'en', 'en', 'en', 'en', 'en', 'nl', 'tl', 'en', 'en', 'en', 'en', 'ca', 'en', 'en', 'en', 'en', 'it', 'en', 'ro', 'en', 'en', 'en', 'en', 'ca', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],"['it', 'et', 'ca', 'ro', 'nl', 'pt', 'en', 'tl']",{'en': 13},"{'en': 46, 'et': 2, 'ca': 3, 'pt': 1, 'nl': 1, 'tl': 1, 'it': 1, 'ro': 1}"
69,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 14},{'en': 13}
70,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 11},{'en': 12}
71,"['en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'fr', 'fr', 'en', 'en', 'en', 'nl', 'da', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'et', 'en', 'pt', 'en', 'en', 'en', 'en', 'en', 'en', 'nl', 'tl', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'it', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en']",['en'],"['it', 'et', 'ca', 'ro', 'nl', 'da', 'pt', 'en', 'tl', 'fr']",{'en': 7},"{'en': 41, 'fr': 3, 'nl': 2, 'da': 1, 'ca': 1, 'et': 2, 'pt': 1, 'tl': 1, 'it': 1, 'ro': 1}"
72,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'de', 'en', 'de', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'so', 'it', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'et', 'en', 'pt', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en', 'en', 'it', 'en', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en', 'en']","['fr', 'de', 'en']","['it', 'et', 'ca', 'ro', 'pt', 'so', 'en', 'fr']","{'en': 21, 'fr': 1, 'de': 2}","{'en': 39, 'so': 1, 'it': 2, 'ca': 1, 'et': 2, 'pt': 1, 'fr': 2, 'ro': 1}"
73,"['en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'et', 'en', 'en', 'nl', 'da', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'en', 'en', 'pt', 'en', 'en', 'en', 'fr', 'en', 'en', 'nl', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en']","['fr', 'en']","['et', 'ca', 'ro', 'nl', 'da', 'pt', 'en', 'fr']","{'en': 13, 'fr': 1}","{'en': 43, 'et': 2, 'nl': 2, 'da': 1, 'ca': 1, 'pt': 1, 'fr': 2, 'ro': 1}"
74,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'af', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],"['af', 'en']",{'en': 12},"{'en': 13, 'af': 1}"
75,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 14},{'en': 13}
76,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'af', 'ro', 'da', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'et', 'en', 'pt', 'en', 'en', 'en', 'en', 'en', 'en', 'nl', 'tl', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en', 'en', 'de', 'ro', 'en', 'en', 'en', 'en', 'ca', 'en', 'en', 'fr', 'en', 'en', 'en', 'en']",['en'],"['et', 'de', 'ca', 'ro', 'nl', 'da', 'tl', 'pt', 'en', 'af', 'fr']",{'en': 11},"{'en': 44, 'af': 1, 'ro': 2, 'da': 1, 'ca': 2, 'et': 2, 'pt': 1, 'nl': 1, 'tl': 1, 'fr': 2, 'de': 1}"
77,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 8},{'en': 12}
78,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 8},{'en': 8}
79,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'no', 'ro', 'da', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'et', 'en', 'pt', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'nl', 'tl', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en', 'it', 'ro', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en']","['ca', 'en']","['it', 'et', 'ca', 'ro', 'no', 'nl', 'da', 'pt', 'en', 'tl', 'fr']","{'en': 19, 'ca': 1}","{'en': 44, 'no': 1, 'ro': 3, 'da': 1, 'ca': 1, 'et': 2, 'pt': 1, 'nl': 1, 'tl': 1, 'fr': 2, 'it': 1}"
80,"['en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'ca', 'en', 'nl', 'da', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'et', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'it', 'en', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],"['it', 'et', 'ca', 'ro', 'nl', 'da', 'en']",{'en': 7},"{'en': 40, 'ca': 2, 'nl': 1, 'da': 1, 'et': 2, 'it': 1, 'ro': 1}"
81,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 9},{'en': 9}
82,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'de', 'de', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'de', 'de', 'en']","['de', 'en']","['de', 'en']","{'en': 13, 'de': 2}","{'en': 13, 'de': 2}"
